model,dataset,deep_exit,cluster,metric,value,source_id,source_path,source_sha256,json_path
LoopUS,2Wiki,8,composer -> place of death,specificity gain,0.6267993086948991,loopus_specificity,reports/discovery/loopus_2wiki_offpath_specificity_v1_20260906/result.json,faee92a918fc5c779397514093d6c739353fa48fc534d52f8160e36562f7819d,summary.descriptive_no_additional_gates.per_relation_path.composer -> place of death.A81
LoopUS,2Wiki,8,director -> award received,deep specificity,3.319632515311241,loopus_specificity,reports/discovery/loopus_2wiki_offpath_specificity_v1_20260906/result.json,faee92a918fc5c779397514093d6c739353fa48fc534d52f8160e36562f7819d,summary.descriptive_no_additional_gates.per_relation_path.director -> award received.C8
LoopUS,2Wiki,8,director -> award received,specificity gain,1.1384508199989796,loopus_specificity,reports/discovery/loopus_2wiki_offpath_specificity_v1_20260906/result.json,faee92a918fc5c779397514093d6c739353fa48fc534d52f8160e36562f7819d,summary.descriptive_no_additional_gates.per_relation_path.director -> award received.A81
LoopUS,2Wiki,8,director -> child,deep specificity,2.6173410415649414,loopus_specificity,reports/discovery/loopus_2wiki_offpath_specificity_v1_20260906/result.json,faee92a918fc5c779397514093d6c739353fa48fc534d52f8160e36562f7819d,summary.descriptive_no_additional_gates.per_relation_path.director -> child.C8
LoopUS,2Wiki,8,director -> child,specificity gain,0.8302280344069004,loopus_specificity,reports/discovery/loopus_2wiki_offpath_specificity_v1_20260906/result.json,faee92a918fc5c779397514093d6c739353fa48fc534d52f8160e36562f7819d,summary.descriptive_no_additional_gates.per_relation_path.director -> child.A81
LoopUS,2Wiki,8,director -> country of citizenship,deep specificity,4.524082772433758,loopus_specificity,reports/discovery/loopus_2wiki_offpath_specificity_v1_20260906/result.json,faee92a918fc5c779397514093d6c739353fa48fc534d52f8160e36562f7819d,summary.descriptive_no_additional_gates.per_relation_path.director -> country of citizenship.C8
LoopUS,2Wiki,8,director -> country of citizenship,specificity gain,0.9002033956348896,loopus_specificity,reports/discovery/loopus_2wiki_offpath_specificity_v1_20260906/result.json,faee92a918fc5c779397514093d6c739353fa48fc534d52f8160e36562f7819d,summary.descriptive_no_additional_gates.per_relation_path.director -> country of citizenship.A81
LoopUS,2Wiki,8,director -> educated at,deep specificity,4.812665492296219,loopus_specificity,reports/discovery/loopus_2wiki_offpath_specificity_v1_20260906/result.json,faee92a918fc5c779397514093d6c739353fa48fc534d52f8160e36562f7819d,summary.descriptive_no_additional_gates.per_relation_path.director -> educated at.C8
LoopUS,2Wiki,8,director -> educated at,specificity gain,1.0958132836967707,loopus_specificity,reports/discovery/loopus_2wiki_offpath_specificity_v1_20260906/result.json,faee92a918fc5c779397514093d6c739353fa48fc534d52f8160e36562f7819d,summary.descriptive_no_additional_gates.per_relation_path.director -> educated at.A81
LoopUS,2Wiki,8,director -> employer,deep specificity,2.290686935186386,loopus_specificity,reports/discovery/loopus_2wiki_offpath_specificity_v1_20260906/result.json,faee92a918fc5c779397514093d6c739353fa48fc534d52f8160e36562f7819d,summary.descriptive_no_additional_gates.per_relation_path.director -> employer.C8
LoopUS,2Wiki,8,director -> employer,specificity gain,1.398130051791668,loopus_specificity,reports/discovery/loopus_2wiki_offpath_specificity_v1_20260906/result.json,faee92a918fc5c779397514093d6c739353fa48fc534d52f8160e36562f7819d,summary.descriptive_no_additional_gates.per_relation_path.director -> employer.A81
LoopUS,2Wiki,8,director -> father,deep specificity,3.1616011932492256,loopus_specificity,reports/discovery/loopus_2wiki_offpath_specificity_v1_20260906/result.json,faee92a918fc5c779397514093d6c739353fa48fc534d52f8160e36562f7819d,summary.descriptive_no_additional_gates.per_relation_path.director -> father.C8
LoopUS,2Wiki,8,director -> father,specificity gain,0.47599783912301064,loopus_specificity,reports/discovery/loopus_2wiki_offpath_specificity_v1_20260906/result.json,faee92a918fc5c779397514093d6c739353fa48fc534d52f8160e36562f7819d,summary.descriptive_no_additional_gates.per_relation_path.director -> father.A81
LoopUS,2Wiki,8,director -> place of birth,deep specificity,3.889571949839592,loopus_specificity,reports/discovery/loopus_2wiki_offpath_specificity_v1_20260906/result.json,faee92a918fc5c779397514093d6c739353fa48fc534d52f8160e36562f7819d,summary.descriptive_no_additional_gates.per_relation_path.director -> place of birth.C8
